"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"295","CA","NULL","1142","0.433389191454","0.452784503632"
"296","CA","NULL","NULL","0.169139465875","0.195833333333"
"297","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"298","CA","NULL","NULL","0.281045751634","0.272727272727"
"299","CA","NULL","1356","0.462068965517","0.481548154815"
"300","CA","NULL","32293","0.162037037037","0.1567695962"
"301","CA","NULL","32293","0.162037037037","0.1567695962"
"302","CA","NULL","32293","0.162037037037","0.1567695962"
"303","CA","NULL","1461","0.400696864111","0.421348314607"
"304","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"305","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"306","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"307","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"308","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"309","CA","NULL","1554","0.362649294245","0.374581939799"
"310","CA","30","NULL","NULL","NULL"
"311","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"312","CA","NULL","1304","0.495649371576","0.511989342806"
"313","CA","43","30458","0.175418994413","0.191283292978"
"314","CA","78","NULL","PrivacySuppressed","PrivacySuppressed"
"315","CA","NULL","1138","0.455248359888","0.473225806452"
"316","CA","NULL","1166","0.476300578035","0.519543973941"
"317","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"318","CA","NULL","1175","0.420772775611","0.438961038961"
"319","CA","NULL","NULL","0.179487179487","0.20350877193"
"320","CA","NULL","16095","0.269565217391","0.333333333333"
"321","CA","NULL","1178","0.372792362768","0.383519206939"
"322","CA","NULL","NULL","NULL","NULL"
"323","CA","NULL","1386","0.405354919054","0.41303494307"
"324","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"325","CA","NULL","1420","0.447740112994","0.453514739229"
"326","CA","NULL","54636","PrivacySuppressed","PrivacySuppressed"
"327","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"328","CA","30","38188","0.185792349727","0.232876712329"
"329","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"330","CA","NULL","7493","0.161137440758","0.170098478066"
"331","CA","NULL","14004","0.34328358209","0.32967032967"
"332","CA","NULL","1142","0.489470980996","0.505563282337"
"333","CA","NULL","NULL","0.133235724744","0.147859922179"
"334","CA","NULL","18250","PrivacySuppressed","PrivacySuppressed"
"335","CA","NULL","NULL","0.130630630631","PrivacySuppressed"
"336","CA","NULL","1142","0.36454610436","0.381413359148"
"337","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"338","CA","NULL","NULL","0.391304347826","0.472222222222"
"339","CA","80","30938","PrivacySuppressed","PrivacySuppressed"
"340","CA","NULL","1304","0.408060453401","0.425702811245"
"341","CA","79","14884","0.243243243243","0.246753246753"
"342","CA","NULL","18742","0.530033637674","0.56156933834"
"343","CA","NULL","41450","0.142561983471","0.170616113744"
"344","CA","NULL","29800","0.195804195804","PrivacySuppressed"
"345","CA","NULL","1224","0.567765567766","0.597087378641"
"346","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"347","CA","NULL","1230","0.498325892857","0.522101217168"
"348","CA","NULL","1127","0.522491349481","0.552763819095"
"349","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"350","CA","NULL","10830","PrivacySuppressed","PrivacySuppressed"
"351","CA","54","15600","0.392857142857","PrivacySuppressed"
"352","CA","95","32130","0.150974025974","0.152985074627"
"353","CA","95","NULL","0.049180327869","PrivacySuppressed"
"354","CA","NULL","1188","0.491668098265","0.50700466978"
"355","CA","NULL","8244","PrivacySuppressed","PrivacySuppressed"
"356","CA","NULL","1220","0.504623513871","0.514466546112"
"357","CA","NULL","1220","0.404804804805","0.414931237721"
"358","CA","NULL","1220","0.459072305593","0.47171314741"
"359","CA","NULL","1220","0.493058161351","0.50651607298"
"360","CA","NULL","1220","0.461253369272","0.463737201365"
"361","CA","42","33020","0.202657807309","0.306818181818"
"362","CA","NULL","1220","0.453987730061","0.463739709918"
"363","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"364","CA","NULL","1220","0.478130617136","0.486122125297"
"365","CA","NULL","1312","0.480109739369","0.504050405041"
"366","CA","NULL","18742","0.530033637674","0.56156933834"
"367","CA","30","46386","0.056273062731","0.082474226804"
"368","CA","NULL","NULL","0.186440677966","PrivacySuppressed"
"369","CA","NULL","NULL","NULL","NULL"
"370","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"371","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"372","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"373","CA","NULL","NULL","0.219895287958","0.232142857143"
"374","CA","NULL","NULL","0.160194174757","0.170731707317"
"375","CA","NULL","NULL","0.084158415842","0.106382978723"
"376","CA","NULL","NULL","0.101382488479","0.107973421927"
"377","CA","NULL","1490","0.433070866142","0.452606635071"
"378","CA","30","35884","0.144278606965","0.154639175258"
"379","CA","NULL","1423","0.533930857875","0.577814569536"
"380","CA","NULL","41350","0.10599078341","0.142857142857"
"381","CA","NULL","1150","0.512098548174","0.534351145038"
"382","CA","NULL","1230","0.451557093426","0.462886597938"
"383","CA","NULL","46236","0.095406360424","0.09756097561"
"384","CA","NULL","1152","0.413021363174","0.428571428571"
"385","CA","NULL","1185","0.450836820084","0.454172366621"
"386","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"387","CA","NULL","NULL","0.129213483146","0.137014314928"
"388","CA","NULL","1162","0.490217391304","0.5125"
"389","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"390","CA","NULL","NULL","0.040816326531","PrivacySuppressed"
"391","CA","NULL","1176","0.486055776892","0.480825958702"
"392","CA","NULL","1388","0.350279329609","0.370767960363"
"393","CA","NULL","1349","0.378637452927","0.386558868115"
"394","CA","30","39608","0.099110546379","0.110497237569"
"395","CA","NULL","1386","0.487891156463","0.505430847212"
"396","CA","NULL","24030","0.710594315245","0.703196347032"
"397","CA","NULL","1142","0.432852386238","0.466346153846"
"398","CA","NULL","NULL","0.167235494881","0.18401937046"
"399","CA","NULL","13016","0.115977575333","0.130828114127"
"400","CA","NULL","NULL","NULL","NULL"
"401","CA","NULL","26463","0.191011235955","PrivacySuppressed"
"402","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"403","CA","NULL","NULL","0.289855072464","PrivacySuppressed"
"404","CA","NULL","NULL","0.15269804822","0.155448717949"
